Moleculas_Produto (Y),Matched_Price_File_Produto (X),Assigned_Price (Z),Similarity_Score,Price_Source_File
BROMOPRIDA 10MG C/20 CAPS EMS,BROMOPRIDA 10MG CAP GEL DURA C/ 20,"R$ 8,09",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CAPTOPRIL 25MG C/30 COMP UQ,CAPTOPRIL 25MG COM C/ 30,"R$ 3,07",90.91% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"CARVEDILOL 12,5MG C/30 COMP BIO","CARVEDILOL 12,5MG COM C/ 30","R$ 9,14",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CARVEDILOL 25MG C/30 COMP ZYD,CARVEDILOL 25MG COM C/ 30,"R$ 15,74",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"CARVEDILOL 6,25MG C/30 COMP TOR","CARVEDILOL 6,25MG COM C/ 30","R$ 8,37",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CETOPROFENO 100MG C/20 COMP MED,CETOPROFENO 100MG COM REV C/ 20,"R$ 20,21",93.10% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CETOPROFENO 150MG C/10 COMP,CETOPROFENO COMP 150MG C/10,"R$ 7,83",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CETOPROFENO 50MG C/24 CAPS MED,CETOPROFENO 50MG CAP GEL DURA C/ 24,"R$ 9,19",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CIPROFIBRATO 100MG C/30 COMP VITA,CIPROFIBRATO 100MG COM C/ 30,"R$ 14,03",93.75% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. AMIODARONA 100MG C/30 COMP MED,CLOR AMIODARONA COMP 100MG C/ 30,"R$ 13,30",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. AMIODARONA 200MG C/30 COMP BIO,CLOR AMIODARONA COMP 200MG C/ 30,"R$ 16,94",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. AMITRIPTILINA 75MG C/30 COMP MED,CL AMITRIPTILINA COMP REV 75MG C/30 (C1),"R$ 14,58",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. CIPROFLOXACINO 500MG C/14 COMP ZYD,CL CIPROFLOXACINO COMP REV 500MG C/14,"R$ 11,74",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. DONEPEZILA 10MG C/30 COMP MED,CLOR DONEPEZIL COMP 10MG C/ 30 (C1),"R$ 38,13",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. DONEPEZILA 5MG C/30 COMP MED,CLOR DONEPEZIL COMP 5MG C/ 30 (C1),"R$ 35,62",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. FEXOFENADINA 180MG C/10 COMP RAN,FEXOFENADINA 180MG 10 CPR,"R$ 14,58",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. MEMANTINA 10MG C/30 COMP BLAB,CLOR MEMANTINA COMP REV 10MG (C1) C/ 30,"R$ 17,30",93.75% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. MEMANTINA 10MG C/60 COMP TEU,CLOR MEMANTINA COMP REV 10MG (C1) C/ 60,"R$ 35,64",93.75% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. NORTRIPTILINA 75MG C/30 COMP ,CL AMITRIPTILINA COMP REV 75MG C/30 (C1),"R$ 14,58",91.67% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. ONDANSETRONA 4MG C/10 COMP NEO,ONDANSETRONA COMP 4MG C/10,"R$ 11,01",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. ONDANSETRONA 8MG C/10 COMP NEO,ONDANSETRONA COMP 8MG C/10,"R$ 21,71",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. TRAZODONA 50MG C/60 COMP ZYD,CLOR TRAZODONA IR COMP REV 50MG C/60(C1),"R$ 23,95",93.75% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. TRAZODONA XR 150MG C/30 COMP NEO,CLOR TRAZODONA COMP XR 150MG C/30 (C1),"R$ 50,52",94.44% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CLARITROMICINA 500MG C/10 COMP EMS,CLARITROMICINA 500MG COM REV C/ 10,"R$ 40,91",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"CLONAZEPAM 0,5MG C/30 COMP MED","CLONAZEPAM 0,5MG COM C/ 30","R$ 2,29",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"CLONAZEPAM 0,5MG C/60 COMP","CLONAZEPAM 0,5MG COM C/ 60","R$ 5,17",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CLONAZEPAM 2 MG C/30 COMP GEO,CLONAZEPAM 2MG COM C/ 30,"R$ 4,04",91.23% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CLONAZEPAM 2MG C/60 COMP EMS,CLONAZEPAM 2MG COM C/ 60,"R$ 9,33",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
DICLOF. POTASSIO 50MG C/20 COMP TEU,DICLOFENACO POTASSICO 50MG COM REV C/ 20,"R$ 3,05",94.29% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
DICLOF. SODICO 50MG C/20 COMP PRATI,DICLOFENACO SODICO 50MG COM REV C/ 20,"R$ 4,89",93.94% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
DOMPERIDONA 1MG/ML 100ML,DOMPERIDONA 1MG SUS C/ 100ML+PIPET DOSAD,"R$ 12,56",93.33% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ESOMEPRAZOL 20MG 28 COMP RAM,ESOMEPRAZOL MAGNÉSICO COMP REV 20MG C/28,"R$ 29,66",92.86% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ESOMEPRAZOL 40 MG 28 COMP EMS,ESOMEPRAZOL MAGNÉSICO COMP REV 40MG C/28,"R$ 63,37",92.31% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
FLUCONAZOL 150 MG 1 CAPS EMS,FLUCONAZOL 150MG CAP GEL DURA C/ 1,"R$ 5,62",92.86% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
FLUCONAZOL 150 MG 2 COMP TEU,FLUCONAZOL 150MG CAP GEL DURA C/ 2,"R$ 6,23",92.86% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
GENFIBROZILA 900 MG 15 COMP MED,GENFIBROZILA 900MG COM REV C/ 15,"R$ 34,84",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
GLIMEPIRIDA 2 MG 30 COMP LEGRAND,GLIMEPIRIDA 2MG COM C/ 30,"R$ 7,27",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
GLIMEPIRIDA 4MG C/30 COMP TEU,GLIMEPIRIDA 4MG COM C/ 30,"R$ 10,93",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"HEMIF. BISOPROLOL  2,5MG C/30 COMP RBX","HEMIF BISOPROLOL COMP REV 2,5MG C/30","R$ 23,55",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
HEMIF. BISOPROLOL  5MG C/30 COMP EMS,HEMIF BISOPROLOL COMP REV 5MG C/30,"R$ 28,30",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
HEMIF. BISOPROLOL 10MG C/30 COMP EMS,HEMIF BISOPROLOL COMP REV 10MG C/30,"R$ 33,12",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
HIDROCLOROTIAZIDA 25MG C/30 COMP NEO,HIDROCLOROTIAZIDA 25MG COM C/ 30,"R$ 1,43",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
IBUPROFENO 50 MG GTS 30 ML BIO,IBUPROFENO 50MG/ML SUS OR C/ 30ML,"R$ 9,58",92.86% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
LAMOTRIGINA 100 MG 30 CPR BIO,LAMOTRIGINA 100MG COM C/ 30,"R$ 50,01",95.08% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
LANSOPRAZOL 15 MG 28 CAPS MED,LANSOPRAZOL CAPSULAS 15MG C/28,"R$ 47,85",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
LANSOPRAZOL 30 MG 28 CAPS EMS,LANSOPRAZOL CAPSULAS 30MG C/28,"R$ 49,00",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
LISINOPRIL  5 MG 30 COMP EMS,LISINOPRIL 5MG COM C/ 30,"R$ 16,84",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
LISINOPRIL 10MG C/30 COMP TEU,LISINOPRIL 10MG COM C/ 30,"R$ 18,93",93.10% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
LISINOPRIL 20MG C/30 COMP TEU,LISINOPRIL 20MG COM C/ 30,"R$ 46,52",93.10% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
"MELOXICAM  7,5MG C/10 COMP EURO","MELOXICAM 7,5MG COM C/ 10","R$ 5,41",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
MELOXICAM 15 MG 10 COMP BIO,MELOXICAM 15MG COM C/ 10,"R$ 5,91",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
NORFLOXACINO 400MG C/14 COMP TEU,NORFLOXACINO 400MG COM REV C/ 14,"R$ 14,67",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OLMESARTANA 40MG C/30 COMP MED,OLMESARTANA MEDOX COMP REV 40MG C/30,"R$ 23,02",94.92% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OMEPRAZOL 10 MG 14 CAPS MED,OMEPRAZOL 10MG CAP GEL DURA LIB C/ 14,"R$ 9,04",90.57% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OMEPRAZOL 20MG 28 CAPS EMS,OMEPRAZOL 20MG CAP GEL DURA LIB C/ 28,"R$ 15,33",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OMEPRAZOL 40 MG 7 CAPS BIO,OMEPRAZOL 40MG CAP GEL DURA LIB C/ 7,"R$ 15,43",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OX. ESCITALOPRAM 10MG C/60 COMP MED,OXAL ESCITALOPRAM 10MG COMP REV C/60(C1),"R$ 16,01",98.55% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OX. ESCITALOPRAM 15MG C/30COMP EURO,OXAL ESCITALOPRAM 15MG COMP REV C/30(C1),"R$ 35,98",98.55% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OXCARBAZEPINA 300MG C/30 COMP TOR,OXCARBAZEPINA 300MG COM REV C/ 30,"R$ 24,98",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OXCARBAZEPINA 300MG C/60 COMP MED,OXCARBAZEPINA COMP REV 300MG C/60 (C1),"R$ 30,00",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
OXCARBAZEPINA 600MG C/30 COMP TOR,OXCARBAZEPINA 600MG COM REV C/ 30,"R$ 49,00",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PANTOPRAZOL 20MG C/28 COMP NOVA,PANTOPRAZOL 20MG COM REV C/ 28,"R$ 5,75",96.67% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PARACETAMOL 200MG GTS 15ML GEO,PARACETAMOL 200MG/ML SOL OR C/ 15ML,"R$ 4,27",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PARACETAMOL 750MG C/20 COMP,PARACETAMOL 750MG COM REV C/ 20,"R$ 8,52",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PRAVASTATINA SOD 20 MG 30 COMP MED,ROSUVASTATINA CALCICA 20MG COM REV C/ 30,"R$ 15,71",92.54% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PREDNISONA 20 MG 30 COMP MED,PREDNISONA 20MG COM C/ 30,"R$ 27,36",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PREDNISONA 5MG C/20 COMP NEO,PREDNISONA 5MG COM C/ 20,"R$ 3,97",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PREGABALINA 75MG C/30 COMP EUR,PREGABALINA 75 MG CAP GEL DURA C/ 30,"R$ 16,52",96.55% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
RAMIPRIL 5 MG 30 COMP BIO,RAMIPRIL 5MG COM C/ 30,"R$ 33,11",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
RISPERIDONA 1 MG 30 COMP EUR,RISPERIDONA COMP REV 1MG C/30,"R$ 11,80",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
RIVAROXABANA  10MG C/30 COMP EMS,RIVAROXABANA COMP REV 10MG C/ 30,"R$ 41,62",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
RIVAROXABANA  20MG C/30 COMP EMS,RIVAROXABANA COMP REV 20MG C/ 30,"R$ 38,45",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
RIVAROXABANA  15MG C/30 COMP EMS,RIVAROXABANA COMP REV 15MG C/ 30,"R$ 39,01",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ROSUVASTATINA 10MG C/30 COMP ALT,ROSUVASTATINA CALCICA 10MG COM REV C/ 30,"R$ 9,91",90.91% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ROSUVASTATINA 20MG C/30 COMP TEUTO,ROSUVASTATINA CALCICA 20MG COM REV C/ 30,"R$ 15,71",90.91% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ROSUVASTATINA  5MG C/30 COMP ALT,ROSUVASTATINA CALCICA COMP REV 5MG C/30,"R$ 14,75",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
SECNIDAZOL 1000 MG 2 COMP MED,SECNIDAZOL 1000MG COM REV C/ 2,"R$ 6,13",92.59% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
SECNIDAZOL 1000 MG 4 COMP TEU,SECNIDAZOL 1000MG COM REV C/ 4,"R$ 10,92",93.10% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
SIMETICONA 40MG C/20 COMP TEU,SIMETICONA COMPRIMIDO 40MG C/20,"R$ 4,64",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
SIMETICONA 75MG GTS 15ML TEU,SIMETICONA GTS 75MG/ML 15ML,"R$ 3,93",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
SULF. HIDROXICLOROQUINA 400MG 30 COMP,SULFATO DE HIDROXICLOROQUINA 400MG 30CPR,"R$ 54,04",91.14% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
TADALAFILA 20MG C/4 COMP. BIOSIN,TADALAFILA 20MG COM REV C/ 4,"R$ 11,82",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
TADALAFILA 5MG 30CPD SDZ,TADALAFILA 5MG COM REV C/ 30,"R$ 24,83",100.00% (AI + Fuzzy),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ACECLOFENACO 100MG C/12 COMP CIMED,ACECLOFENACO 100MG 12CPD G GER,"R$ 9,71",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ACICLOVIR 200MG C/25 COMP ACHE,ACICLOVIR 200MG 25CPD G GER,"R$ 13,99",91.53% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ACIDO MEFENAMICO 500MG C/24 COMP MED,AC MEFENAMICO 500MG 24CPD G GER,"R$ 13,60",95.65% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ALBENDAZOL 400MG C/1 COMP TEU,ALBENDAZOL 400MG 1CPD G GER,"R$ 2,05",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ALENDRONATO SOD. 70MG C/4 COMP BIO,ALENDRONATO SODIO 70MG 4CPD G GER,"R$ 3,85",98.51% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"ALPRAZOLAM 0,25MG C/30 COMP MED","ALPRAZOLAM 0,25MG 30CPD (B1) G GER","R$ 4,59",93.55% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"ALPRAZOLAM 0,5MG C/30 COMP ZYD","ALPRAZOLAM 0,5MG 30CPD (B1) G GER","R$ 3,37",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ALPRAZOLAM 1MG C/30 COMP ZYDUS,ALPRAZOLAM 1MG 30CPD (B1) G GER,"R$ 4,81",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ALPRAZOLAM 2MG C/30 COMP TEU,ALPRAZOLAM 2MG 30CPD (B1) G GER,"R$ 9,66",96.55% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
AMOXICILINA 500MG C/15 CAPS TEU,AMOXICILINA 500MG 15CAP (AM) G GER,"R$ 8,99",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
AMOXICILINA 875MG C/14 COMP EMS,AMOXICILINA 875MG 14CPD (AM) G GER,"R$ 29,30",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
APIXABANA 5MG C/ 60COMP NEO,APIXABANA 5MG 60CPD G GER,"R$ 71,90",96.30% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"ATENOLOL + CLORT.  50+12,5MG C/30 COMP BIO","ATENOLOL+CLORT 50+12,5MG 30CPD G GER","R$ 6,09",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ATENOLOL 25MG C/30 COMP PRATI,ATENOLOL 25MG 30CPD G GER,"R$ 2,34",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ATENOLOL 50MG C/30 COMP VITA,ATENOLOL 50MG 30CPD G GER,"R$ 4,14",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ATORVASTATINA 10MG C/30 COMP TEU,ATORVASTATINA 10MG 30CPD G GER,"R$ 12,35",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ATORVASTATINA 20MG C/30 COMP CIMED,ATORVASTATINA 20MG 30CPD G GER,"R$ 9,49",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ATORVASTATINA 40MG C/30 COMP CIMED,ATORVASTATINA 40MG 30CPD G GER,"R$ 24,79",90.91% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
ATORVASTATINA 80MG C/30 COMP NEO,ATORVASTATINA 80MG 30CPD G GER,"R$ 205,03",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
BEZAFIBRATO 200MG C/20 COMP EMS,BEZAFIBRATO 200MG 20CPD G GER,"R$ 29,02",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
BIS. CLOPIDOGREL 75MG C/28 COMP SDZ,CLOPIDOGREL 75MG 28CPD G GER,"R$ 20,40",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
BROM. CITALOPRAM 20MG C/30 COMP RAN,CITALOPRAM 20MG 30CPD (C1) G GER,"R$ 9,35",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
BROMAZEPAM 3MG C/30 COMP TEU,BROMAZEPAM 3MG 30CPD (B1) G GER,"R$ 5,37",90.91% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
BROMAZEPAM 6MG C/30 COMP UQ,BROMAZEPAM 6MG 30CPD (B1) G GER,"R$ 7,82",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
BROMOPRIDA 10MG C/20 CAPS EMS,BROMOPRIDA 10MG 20CAP G GER,"R$ 8,64",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"CABERGOLINA 0,5MG C/2 COMP EURO","CABERGOLINA 0,5MG 2CPD G GER","R$ 15,33",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CAPTOPRIL 50MG C/30 COMP EMS,CAPTOPRIL 50MG 30CPD G GER,"R$ 6,01",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CARBAMAZEPINA 200MG C/20 COMP NEO,CARBAMAZEPINA 200MG 20CPD (C1) G GER,"R$ 9,79",91.18% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
"CARVEDILOL 12,5MG C/30 COMP BIO","CARVEDILOL 12,5MG 30CPD G GER","R$ 7,22",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
CARVEDILOL 25MG C/30 COMP ZYD,CARVEDILOL 25MG 30CPD G GER,"R$ 10,29",100.00% (AI + Fuzzy),OL GERMED JUl_20250703 (ENVIO).xlsx
