Moleculas_Produto (Y),Matched_Price_File_Produto (X),Assigned_Price (Z),Similarity_Score,Price_Source_File
CL. FEXOFENADINA 120MG C/10 COMP CIMED,FEXOFENADINA 120MG 10 CPR,"R$ 9,87",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CL. FEXOFENADINA 180MG C/10 COMP RAN,FEXOFENADINA 180MG 10 CPR,"R$ 14,58",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CLOTRIMAZOL 1% CR 20G,CLOTRIMAZOL 20MG CREM VAGC/20G+3 APLIC,"R$ 16,46",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
CLOTRIMAZOL 1% CR 20G,CLOTRIMAZOL 20MG CRM VAG 20G+3APL G GER,"R$ 25,90",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
CLOTRIMAZOL 2% 20G CR VAG EMS,CLOTRIMAZOL 20MG CRM VAG 20G+3APL G GER,"R$ 25,90",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
"DICLOF. DIETILAMONIO 11,6MG 60G GEL TEU","DICLOF DIETILAMONIO 11,6 MG/G GEL BG 60G","R$ 4,79",100.00% (Verified),Tabela  Preços.xlsx
DICLOF. POTASSIO 50MG C/20 COMP TEU,DICLOF POTASSICO 50MG COMP REV 1 BL X 20,"R$ 2,09",96.77% (Verified),Tabela  Preços.xlsx
DIPIRONA 1G C/10 COMP NEO,DIPIRONA 1G COMP 1BL X 10,"R$ 3,99",100.00% (Verified),Tabela  Preços.xlsx
DOMPERIDONA 10MG C/30 COMP EMS,DOMPERIDONA 10MG COMP 1 BL X 30,"R$ 2,49",100.00% (Verified),Tabela  Preços.xlsx
DOMPERIDONA 10MG C/60 COMP RBX,DOMPERIDONA 10MG COMP 2 BL X 30,"R$ 3,99",100.00% (Verified),Tabela  Preços.xlsx
EZETIMIBA+SINVASTATINA 10+20MG C/30CPR EMS,SINVASTATINA 20MG COMP REV 1 BL X 30,"R$ 2,79",100.00% (Verified),Tabela  Preços.xlsx
FENOFIBRATO 200MG C/30 COMP EMS,FENOFIBRATO 200MG 30CAP G GER,"R$ 90,00",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
FINASTERIDA 1 MG 30 COMP BIO,FINASTERIDA 1MG COMP REV 2 BL X 15,"R$ 7,99",100.00% (Verified),Tabela  Preços.xlsx
FINASTERIDA 5MG C/30CPR REV (NVQ),FINASTERIDA 5MG COMP REV 2 BL X 15,"R$ 9,89",100.00% (Verified),Tabela  Preços.xlsx
FLUCONAZOL 150 MG 1 CAPS EMS,FLUCONAZOL 150MG CAP 1 BL X 1,"R$ 1,39",100.00% (Verified),Tabela  Preços.xlsx
FLUCONAZOL 150 MG 2 COMP TEU,FLUCONAZOL 150MG 2CAP G GER,"R$ 6,26",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
FLUCONAZOL 150 MG 2 COMP TEU,FLUCONAZOL 150MG CAP 1 BL X 2,"R$ 1,59",100.00% (Verified),Tabela  Preços.xlsx
FUROSEMIDA 40 MG 30 COMP BIO,FUROSEMIDA 40MG COMP 1 BL X 30,"R$ 3,59",100.00% (Verified),Tabela  Preços.xlsx
FUROSEMIDA 40MG C/20 COMP CIMED,FUROSEMIDA 40MG COMP 1BL X 20,"R$ 2,99",100.00% (Verified),Tabela  Preços.xlsx
GABAPENTINA 300 MG 30 CAPS BIO,GABAPENTINA 300MG CAPS 3 BL X 10,"R$ 12,89",100.00% (Verified),Tabela  Preços.xlsx
GLIBENCLAMIDA 5 MG 30 COMP BIO,GLIBENCLAMIDA 5 MG 1 BL X 30 COMP,"R$ 1,59",100.00% (Verified),Tabela  Preços.xlsx
GLIMEPIRIDA 2 MG 30 COMP LEGRAND,GLIMEPIRIDA 2 MG COMP 1 BL X 30,"R$ 2,99",100.00% (Verified),Tabela  Preços.xlsx
GLIMEPIRIDA 4MG C/30 COMP TEU,GLIMEPIRIDA 4 MG COMP 1 BL X 30,"R$ 3,99",100.00% (Verified),Tabela  Preços.xlsx
HIDROCLOROTIAZIDA 25MG C/30 COMP NEO,HIDROCLOROTIAZIDA 25MG COMP 1 BL X 30,"R$ 1,19",100.00% (Verified),Tabela  Preços.xlsx
HIDROQUINONA 40 MG CR 30 G EMS,HIDROQUINONA 40MG/G CRM 30G G GER,"R$ 46,99",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
IBUPROFENO 50 MG GTS 30 ML BIO,IBUPROFENO 50MG/ML SUS OR C/ 30ML,"R$ 9,58",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
ITRACONAZOL 100 MG 4 COMP,ITRACONAZOL 100MG 4CAP G GER,"R$ 6,21",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
LEVOFLOXACINO 500 MG  7 COMP LEG,LEVOFLOXACINO 500MG COMP REV 1 BL X 7,"R$ 5,99",100.00% (Verified),Tabela  Preços.xlsx
LEVOFLOXACINO 500 MG 10 COMP EMS,LEVOFLOXACINO 500MG COMP REV 1 BL X 10,"R$ 9,49",100.00% (Verified),Tabela  Preços.xlsx
"LEVONORGESTREL 1,5MG C/1 COMP CIMED","LEVONORGESTREL 1,5 MG COMP 1 BL X 1","R$ 1,99",100.00% (Verified),Tabela  Preços.xlsx
LORATADINA 10 MG 12 COMP SAND,LORATADINA 10 MG COMP 1 BL X 12,"R$ 1,49",100.00% (Verified),Tabela  Preços.xlsx
LOSARTANA 50MG C/30 COMP TEU,LOSARTANA POTASSICA 50MG COMP REV 1BLX30,"R$ 4,49",100.00% (Verified),Tabela  Preços.xlsx
MELOXICAM 15 MG 10 COMP BIO,MELOXICAM 15MG COMP 1 BL X 10,"R$ 2,49",100.00% (Verified),Tabela  Preços.xlsx
MINOXIDIL 50MG 50ML NEO,MINOXIDIL 50MG/ML 3FRA SL SPR 50ML G GER,"R$ 69,99",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
MIRTAZAPINA 15MG C/30 COMP NOVA,MIRTAZAPINA 15MG COMP 3 BL X 10,"R$ 24,39",100.00% (Verified),Tabela  Preços.xlsx
MIRTAZAPINA 30MG C/30 COMP NOVA,MIRTAZAPINA 30MG COMP 3 BL X 10,"R$ 26,99",100.00% (Verified),Tabela  Preços.xlsx
NEBIVOLOL 5MG 30CPD G TRT,NEBIVOLOL 5MG 30CPD G GER,"R$ 16,50",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
NIMESULIDA 100 MG 12 COMP,NIMESULIDA 100 MG COMP 1 BL X 12,"R$ 1,49",100.00% (Verified),Tabela  Preços.xlsx
NORFLOXACINO 400MG C/14 COMP TEU,NORFLOXACINO 400MG COMP REV 1 BL X 14,"R$ 6,69",100.00% (Verified),Tabela  Preços.xlsx
"OLMESARTANA + HCT 20/12,5MG C/30 NEO","OLMESARTANA MD+HCT 20+12,5MG 30CPD G GER","R$ 21,79",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
OMEPRAZOL 20MG 28 CAPS EMS,OMEPRAZOL 20MG 28CAP G GER,"R$ 4,63",96.30% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
OMEPRAZOL 20MG 28 CAPS EMS,OMEPRAZOL 20MG X 28 CAPS,"R$ 2,89",100.00% (Verified),Tabela  Preços.xlsx
ORLISTATE 120 MG 30 CAPS. NEO,ORLISTATE 120MG 30CAP G GER,"R$ 54,99",96.30% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
ORLISTATE 120 MG 42 CAPS EMS,ORLISTATE 120MG 42CAP G GER,"R$ 77,17",96.30% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
PANTOPRAZOL 20MG C/28 COMP NOVA,PANTOPRAZOL 20MG COMP REV 1BL X 28,"R$ 3,49",100.00% (Verified),Tabela  Preços.xlsx
PANTOPRAZOL 40 MG 28 COMP SANDOZ,PANTOPRAZOL 40MG COMP REV 2BL X 14,"R$ 5,39",100.00% (Verified),Tabela  Preços.xlsx
PARACETAMOL 200MG GTS 15ML GEO,PARACETAMOL 200MG/ML SOL OR C/ 15ML,"R$ 4,27",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
PARACETAMOL 200MG GTS 15ML GEO,PARACETAMOL 200 MG/ML SOL OR FR 15 ML,"R$ 2,49",100.00% (Verified),Tabela  Preços.xlsx
PARACETAMOL 750MG C/20 COMP,PARACETAMOL 750 MG COM 2 BL X 10,"R$ 3,49",100.00% (Verified),Tabela  Preços.xlsx
PARACETAMOL BEBE GTS 15ML LEG,PARACETAMOL BEBE GTS 15ML G GER,"R$ 11,99",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
PARACETAMOL CRIANCA SOL 60 ML EMS,PARACETAMOL SUSP ORAL 60ML G GER,"R$ 12,99",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
PIROXICAM 20 MG 15 CAPS NEO,PIROXICAM 20MG 15CAP G GER,"R$ 7,17",96.30% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
PREGABALINA 150MG C/30 COMP NEO,PREGABALINA 150MG 30CAP (C1) G GER,"R$ 17,65",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
PROP. CLOBETASOL POM 30G NOVA,CLOBETASOL POM 30G G GER,"R$ 7,44",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
RISPERIDONA 1 MG 30 ML GER,RISPERIDONA COMP REV 1MG C/30,"R$ 11,80",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
RISPERIDONA 1 MG 30 ML GER,RISPERIDONA 1MG/ML SL OR 30ML (C1) G GER,"R$ 31,99",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
RIVAROXABANA  10MG C/30 COMP EMS,RIVAROXABANA 10 MG COMP REV 1BL X 30,"R$ 8,99",100.00% (Verified),Tabela  Preços.xlsx
RIVAROXABANA  20MG C/30 COMP EMS,RIVAROXABANA 20 MG COMP REV 1BL X 30,"R$ 11,49",100.00% (Verified),Tabela  Preços.xlsx
RIVAROXABANA  15MG C/30 COMP EMS,RIVAROXABANA 15 MG COMP REV 1BL X 30,"R$ 9,99",100.00% (Verified),Tabela  Preços.xlsx
SIMETICONA 75MG GTS 10ML TEU,SIMETICONA GTS 75MG/ML 15ML,"R$ 3,93",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
SIMETICONA 75MG GTS 10ML TEU,SIMETICONA 75MG/ML EMU OR FR 15ML,"R$ 2,29",100.00% (Verified),Tabela  Preços.xlsx
SIMETICONA 75MG GTS 15ML TEU,SIMETICONA GTS 75MG/ML 15ML,"R$ 3,93",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
SIMETICONA 75MG GTS 15ML TEU,SIMETICONA 75MG/ML EMU OR FR 15ML,"R$ 2,29",100.00% (Verified),Tabela  Preços.xlsx
SINVASTATINA 20 MG 30 COMP BIO,SINVASTATINA 20MG COMP REV 1 BL X 30,"R$ 2,79",100.00% (Verified),Tabela  Preços.xlsx
SINVASTATINA 40MG C/30 COMP SDZ,SINVASTATINA 40MG COMP REV 2BL X 15,"R$ 4,99",100.00% (Verified),Tabela  Preços.xlsx
TADALAFILA 20MG C/4 COMP. BIOSIN,TADALAFILA 20MG 1 BL X 4 COMP,"R$ 2,49",100.00% (Verified),Tabela  Preços.xlsx
TADALAFILA 5MG 30CPD SDZ,TADALAFILA 5MG COM REV C/ 30,"R$ 24,83",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
TADALAFILA 5MG 30CPD SDZ,TADALAFILA 5MG 30CPD G GER,"R$ 16,40",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
TOBRAMICINA 3MG/ML SOL OFT FR 5ML,TOBRAMICINA 3MG/ML SL OF 5ML (AM) G GER,"R$ 13,99",100.00% (Verified),OL GERMED JUl_20250703 (ENVIO).xlsx
VAL. BETAMETASONA 30G CR,VALERATO DE BETAMETASONA POMADA 30G,"R$ 14,16",100.00% (Verified),DEFAULT_GENÉRICO _OUTUBRO_24.xlsx
VALSARTANA 160 MG 30 COMP,VALSARTANA 160MG COMP REV 2BL X 15,"R$ 13,99",100.00% (Verified),Tabela  Preços.xlsx
VALSARTANA 320 MG 30 COMP NQ,VALSARTANA 320MG COMP REV 3BL X 10,"R$ 33,29",100.00% (Verified),Tabela  Preços.xlsx
